rcrfr_id,rcrfr_nm,ctprv_nm,rcrfr_sctn_nm,max_accpn_cnt,mnagn_nm,provd_instt_cd,provd_instt_nm,besl_tm_xcrd,besl_tm_ycrd,wgs84_lltd_xcrd,wgs84_lltd_ycrd,examin_realm_se_code_nm,spcs_lcnm,spcs_scncenm,exam_yr
128,회문산자연휴양림,전라북도,국유림,300,국립자연휴양림관리소,6450000,전라북도,320575.2857,322375.4286,127.1224006,35.497603,포유류,족제비,Mustela sibirica Pal,2007
129,고산자연휴양림,전라북도,공유림,297,완주군청,6450000,전라북도,331390.5556,373082.4444,127.237256,35.95542311,포유류,족제비,Mustela sibirica Pal,2007
130,변산자연휴양림,전라북도,국유림,500,국립자연휴양림관리소,6450000,전라북도,264018.4884,334700.8605,126.4970913,35.60252127,포유류,고양이,Felis catus,2007
131,남원흥부골자연휴양림,전라북도,공유림,70,남원시청,6450000,전라북도,362847,316515.5,127.588587,35.4472725,포유류,고라니,Hydropotes inermis S,2017
131,남원흥부골자연휴양림,전라북도,공유림,70,남원시청,6450000,전라북도,362847,316515.5,127.588587,35.4472725,포유류,염소,Capra hircus,2017
132,남원자연휴양림,전라북도,사유림,300,남원자연휴양림(한정희),6450000,전라북도,347329.5,317986.5,127.417563,35.459828,포유류,고라니,Hydropotes inermis S,2017
132,남원자연휴양림,전라북도,사유림,300,남원자연휴양림(한정희),6450000,전라북도,347329.5,317986.5,127.417563,35.459828,포유류,염소,Capra hircus,2017
133,성수산자연휴양림,전라북도,사유림,80,성수산자연휴양림,6450000,전라북도,345727.5556,337745,127.3985883,35.63783222,포유류,족제비,Mustela sibirica Pal,2007
134,가리산자연휴양림,강원도,공유림,234,홍천군,4250000,강원도 홍천군,398720,584671,127.983233,37.864637,포유류,고라니,Hydropotes inermis S,2015
135,좌구산자연휴양림,충청북도,공유림,251,증평군청,5570000,충청북도 증평군,368953.8571,456344.8571,127.6503209,36.70774986,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
136,서귀포자연휴양림,제주특별자치도,국유림,1500,서귀포시청,6520000,제주특별자치도 서귀포시,256996.7,81490.8,126.4620567,33.3195671,포유류,제주등줄쥐,Apodemus agrarius ch,2013
137,붉은오름자연휴양림,제주특별자치도,공유림,1500,서귀포시청,6520000,제주특별자치도 서귀포시,277638.3333,90090.44444,126.6825234,33.39963567,포유류,작은땃쥐,Crocidura shantungen,2013
138,박달재자연휴양림,충청북도,공유림,2000,충청북도 제천시청,4400000,충청북도 제천시,404269.8333,505034.6667,128.0458683,37.14703583,포유류,관박쥐,Rhinolophus ferrumeq,2015
138,박달재자연휴양림,충청북도,공유림,2000,충청북도 제천시청,4400000,충청북도 제천시,404269.8333,505034.6667,128.0458683,37.14703583,포유류,검은집박쥐,Hypsugo alashanicus,2015
138,박달재자연휴양림,충청북도,공유림,2000,충청북도 제천시청,4400000,충청북도 제천시,404269.8333,505034.6667,128.0458683,37.14703583,포유류,뿔박쥐,Murina hilgendorfi (,2015
138,박달재자연휴양림,충청북도,공유림,2000,충청북도 제천시청,4400000,충청북도 제천시,404269.8333,505034.6667,128.0458683,37.14703583,포유류,우수리박쥐,Myotis petax Hollist,2015
146,청옥산자연휴양림,경상북도,국유림,1000,국립자연휴양림관리소,5240000,경상북도 봉화군,489161.5568,494463.1705,129.000194,37.04756244,포유류,오소리,Meles leucurus (Hodg,2017
147,충북알프스자연휴양림,충청북도,공유림,287,보은군청 산림녹지과,4420000,충청북도 보은군,380794,441562,127.7832174,36.57484033,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
148,속리산 숲체험휴양마을,충청북도,공유림,350,보은군청 산림녹지과,4420000,충청북도 보은군,381876.5714,433045.8571,127.7955161,36.49811157,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
149,고산자연휴양림,전라북도,공유림,5000,완주군청,4720000,전라북도 완주군,331390.5556,373082.4444,127.237256,35.95542311,포유류,족제비,Mustela sibirica Pal,2007
150,백운산자연휴양림,전라남도,공유림,395,전라남도 광양시,4840000,전라남도 광양시,362795,272171,127.590031,35.047546,포유류,고라니,Hydropotes inermis S,2018
151,축령산자연휴양림,경기도,공유림,172,경기도산림환경연구소,6410000,경기도,339612,572672,127.312469,37.754518,포유류,족제비,Mustela sibirica Pal,2015
152,강씨봉자연휴양림,경기도,공유림,102,경기도산림환경연구소,6410000,경기도,348135,595834,127.407522,37.963725,포유류,멧토끼,Lepus coreanus Thoma,2015
153,두루웰자연휴양림,강원도,공유림,100,강원도 철원군청 녹색성장과,4300000,강원도 철원군,343408.0224,624466.2125,127.3514504,38.22140346,포유류,멧토끼,Lepus coreanus Thoma,2015
154,서운산자연휴양림,경기도,공유림,214,경기도 안성시청,4080000,경기도 안성시,339165,482253,127.314833,36.939766,포유류,노루,Capreolus pygargus (,2015
155,망경대산자연휴양림,강원도,국유림,4,영월군시설관리공단,4270000,강원도 영월군,453219,509016.5,128.597169,37.1814215,포유류,오소리,Meles leucurus (Hodg,2018
156,송이밸리자연휴양림,강원도,공유림,100,강원도 양양군청,4350000,강원도 양양군,454739.4444,605971.2222,128.6215201,38.05491378,포유류,개,Canis familialis,2008
156,송이밸리자연휴양림,강원도,공유림,100,강원도 양양군청,4350000,강원도 양양군,454739.4444,605971.2222,128.6215201,38.05491378,포유류,너구리,Nyctereutes procyono,2008
156,송이밸리자연휴양림,강원도,공유림,100,강원도 양양군청,4350000,강원도 양양군,454739.4444,605971.2222,128.6215201,38.05491378,포유류,고라니,Hydropotes inermis S,2008
156,송이밸리자연휴양림,강원도,공유림,100,강원도 양양군청,4350000,강원도 양양군,454739.4444,605971.2222,128.6215201,38.05491378,포유류,멧밭쥐,Micromys minutus (Pa,2008
