rcrfr_id,rcrfr_nm,ctprv_nm,rcrfr_sctn_nm,max_accpn_cnt,mnagn_nm,provd_instt_cd,provd_instt_nm,besl_tm_xcrd,besl_tm_ycrd,wgs84_lltd_xcrd,wgs84_lltd_ycrd,examin_realm_se_code_nm,spcs_lcnm,spcs_scncenm,exam_yr
29,대봉산자연휴양림,경상남도,공유림,92,경상남도 함양군청,5460000,경상남도 함양군,374369,331284.25,127.7150365,35.58076075,포유류,고라니,Hydropotes inermis S,2018
30,횡성자연휴양림,강원도,사유림,300,사유휴양림(대표 : 이호준),4260000,강원도 횡성군,410104.5,548307.5,128.112129,37.5369285,포유류,고라니,Hydropotes inermis S,2015
32,숲체원,강원도,국유림,300,산림청,4260000,강원도 횡성군,425865.0741,548361.1852,128.2904691,37.53710815,포유류,노루,Capreolus pygargus (,2015
33,청태산휴양림,강원도,국유림,1500,산림청,4260000,강원도 횡성군,424661.5938,552482.6094,128.2769874,37.57427748,포유류,노루,Capreolus pygargus (,2015
34,데미샘자연휴양림,전라북도,공유림,107,전라북도 산림환경연구소,4730000,전라북도 진안군,350715.6471,338240.4118,127.4536305,35.64255929,포유류,족제비,Mustela sibirica Pal,2007
37,불갑사 관광휴양단지,전라남도,사유림,200,전라남도 영광군청,4970000,전라남도 영광군,267019,290335,126.53744,35.203143,포유류,고라니,Hydropotes inermis S,2012
38,금강자연휴양림,충청남도,공유림,226,산림자원연구소,6440000,충청남도,332334.95,426527.4,127.243103,36.4371402,포유류,두더지,Mogera wogura (Temmi,2013
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,개,Canis familialis,2009
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,두더지,Mogera wogura (Temmi,2009
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,족제비,Mustela sibirica Pal,2009
